Comuna,Población Total,Contagiados a la Fecha,Activos,Tasa
Las Cabras,26749,6148,10.0,22950,4
Litueche,6765,2005,3.0,29578,7
Lolol,7289,1297,4.0,17752,8
Machali,59913,15747,56.0,26224,7
Malloa,14163,2685,4.0,18943,7
Marchihue,7632,1425,1.0,18658,3
Mostazal,27462,6253,22.0,22700,5
Nancagua,19141,4041,20.0,21064,7
Navidad,6904,1870,11.0,26955,4
Olivar,14624,3439,7.0,23488,8
Palmilla,13299,2931,16.0,21956,5
Paredones,6349,1424,11.0,22302,7
Peralillo,11848,2753,15.0,23134,7
Peumo,14952,3416,5.0,22853,1
Pichidegua,20743,3495,10.0,16815,3
Pichilemu,17882,4116,2.0,23006,4
Placilla,9164,2409,16.0,26156,7
Pumanque,3531,877,0.0,24837,2
Quinta de Tilcoco,13877,2212,3.0,15911,2
Rancagua,265211,74169,225.0,27921,9
Rengo,63710,14719,52.0,23038,8
Requinoa,30371,6844,23.0,22491,9
San Fernando,78642,17776,46.0,22563,0
San Vicente,50617,11726,21.0,23140,4
Santa Cruz,41096,11385,54.0,27623,1
Desconocido O’Higgins,0,511,0.0,
Cauquenes,44143,13285,40.0,30043,3
Chanco,9331,1762,4.0,18872,6
Colbun,22565,8366,46.0,36964,3
Constitucion,50348,13406,28.0,26590,9
Curepto,9426,2512,27.0,26501,2
Curico,163626,50311,115.0,30702,3
Empedrado,4206,1413,3.0,33547,3
Hualane,10222,2900,6.0,28331,1
Licanten,6989,1914,6.0,27314,4
Linares,101073,32300,88.0,31928,4
Longavi,32810,9458,30.0,28768,7
Maule,60000,17110,73.0,28426,7
Molina,49800,15411,55.0,30859,4
Parral,44544,14449,57.0,32361,3
Pelarco,9083,3460,10.0,37972,0
Pelluhue,8092,2569,7.0,31673,3
Pencahue,8601,2775,16.0,32182,3
Rauco,11248,3457,2.0,30734,4
Retiro,21071,6317,12.0,29936,9
Rio Claro,14753,4367,9.0,29546,5
Romeral,16170,5344,10.0,33017,9
Sagrada Familia,19469,5442,15.0,27905,9
San Clemente,46292,13139,39.0,28318,1
San Javier,49451,16147,86.0,32541,3
San Rafael,9959,3982,26.0,39783,1
Talca,236724,82036,195.0,34603,2
Teno,30850,8422,29.0,27222,0
Vichuquen,4381,864,0.0,19721,5
Villa Alegre,17512,5380,14.0,30676,1
Yerbas Buenas,19200,5311,9.0,27630,2
Desconocido Maule,0,104,0.0,
Bulnes,22607,7194,35.0,31724,7
Chillan,198624,74697,218.0,37542,3
Chillan Viejo,33827,8951,27.0,26416,8
Cobquecura,5275,1171,3.0,22180,1
Coelemu,16845,4278,11.0,25342,8
Coihueco,28375,7058,20.0,24835,2
El Carmen,12334,3567,26.0,28847,1
Ninhue,5414,1504,5.0,27742,9
Niquen,11567,3194,21.0,27526,6
Pemuco,8639,2311,8.0,26704,5
Pinto,11880,3509,3.0,29511,8
Portezuelo,4940,1423,6.0,28704,5
Quillon,18777,5466,18.0,29046,2
Quirihue,12192,2618,4.0,21456,7
Ranquil,6261,1694,1.0,27056,4
San Carlos,56252,19074,76.0,33837,0
San Fabian,4654,1564,4.0,33562,5
San Ignacio,16624,4763,25.0,28585,2
San Nicolas,12172,4040,5.0,33158,1
Treguaco,5696,1561,2.0,27387,6
Yungay,18596,5812,18.0,31205,6
Desconocido Nuble,0,69,0.0,
Alto Biobio,6775,1612,7.0,23734,3
Antuco,4306,1294,6.0,29935,0
Arauco,38679,15339,49.0,39579,6
Cabrero,30725,9252,34.0,30030,9
Canete,37003,10836,44.0,29186,8
Chiguayante,91180,29857,119.0,32665,1
Concepcion,238092,86633,252.0,36328,0
Contulmo,6330,2054,11.0,32369,7
Coronel,125829,36265,82.0,28789,1
Curanilahue,33892,10548,18.0,31095,8
Florida,11841,3464,11.0,29195,2
Hualpen,97273,33810,117.0,34694,1
Hualqui,26201,8316,41.0,31670,5
Laja,23873,5384,7.0,22531,7
Lebu,27100,7792,16.0,28708,5
Los Alamos,22524,7653,23.0,33932,7
Los Angeles,218515,74938,209.0,34240,2
Lota,45750,13085,43.0,28555,2
Mulchen,31041,9273,36.0,29799,3
Nacimiento,27944,6907,17.0,24677,9
Negrete,10429,3341,20.0,31959,0
Penco,49865,16303,39.0,32640,1
Quilaco,4179,1123,9.0,26824,6
Quilleco,10032,2982,12.0,29615,2
San Pedro de la Paz,145906,42675,146.0,29190,7
San Rosendo,3611,997,8.0,27471,6
Santa Barbara,14592,4570,31.0,31188,3
Santa Juana,14779,4286,6.0,28987,1
Talcahuano,158345,53598,195.0,33782,6
Tirua,11019,2631,7.0,23840,6
Tome,58729,21649,65.0,36799,5
Tucapel,15205,4165,33.0,27234,5
Yumbel,22132,5607,33.0,25239,5
Desconocido Biobio,0,440,0.0,
Angol,56058,17029,67.0,30309,7
Carahue,25486,6037,17.0,23628,7
Cholchol,12341,2611,5.0,21124,7
Collipulli,26148,7974,21.0,30449,7
Cunco,18055,5202,10.0,28773,2
Curacautin,18178,3804,5.0,20904,4
Curarrehue,7802,2432,6.0,31120,2
Ercilla,8458,2545,11.0,30018,9
Freire,25446,5834,8.0,22903,4
Galvarino,12633,4030,9.0,31876,8
Gorbea,15148,3890,17.0,25640,3
Lautaro,40746,10910,12.0,26748,6
Loncoche,24739,5996,45.0,24111,7
Lonquimay,11049,2944,8.0,26590,6
Los Sauces,7517,2222,1.0,29559,7
Lumaco,10050,2083,4.0,20706,5
Melipeuco,6265,1721,9.0,27422,2
Nueva Imperial,33777,8384,29.0,24762,4
Padre Las Casas,82110,22807,40.0,27751,8
Perquenco,7223,2455,5.0,33947,1
Pitrufquen,26096,7729,27.0,29548,6
Pucon,29782,9532,24.0,31958,9
Puren,12188,3187,3.0,26132,3
Renaico,10833,3798,1.0,35041,1
Saavedra,12793,3426,7.0,26741,2
Temuco,302931,103908,293.0,34236,5
Teodoro Schmidt,15786,3678,6.0,23267,5
Tolten,10055,3246,17.0,32143,2
Traiguen,19314,4929,7.0,25494,5
Victoria,35467,9325,9.0,26277,9
Vilcun,30766,8405,23.0,27273,6
Villarrica,59103,17437,58.0,29440,1
Desconocido Araucania,0,51,0.0,
